date,count,day,day_abc,col_no,ID,treat,q.activity,active,response,buzzing,charging,butting,grappling,stinging,aggression,eggs,treat_activity,treat_response
02/04/2019,3,2,a1.2,75,TR1.12,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,1,E3,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,2,CR1.12,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,3,CR2.1,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,4,CR1.17,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,5,TR2.14,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,6,CR1.11,C,b,FALSE,TRUE,2,0,0,0,0,2,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,7,TR2.13,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,8,TR2.2,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,9,CR1.16,C,m,TRUE,FALSE,0,0,0,0,0,0,0,C_Active,C_NoResponse
06/04/2019,5,6,a2.6,10,TR1.5,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,11,TR1.9,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,12,TR2.9,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,13,CR1.9,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,14,TR1.11,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,15,TR1.10,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,16,CR2.2,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,18,TR1.16,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,19,TR1.15,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,20,CR1.10,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,21,CR1.15,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,22,TR2.12,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,23,CR2.14,C,m,TRUE,TRUE,1,0,0,0,0,1,0,C_Active,C_Response
06/04/2019,5,6,a2.6,24,CR2.9,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,25,CR2.11,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,26,TR1.19,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,27,CR1.8,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,28,CR1.2,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,29,CR1.7,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,30,CR2.12,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,31,CR2.5,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,32,TR1.4,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,33,CR1.4,C,m,TRUE,TRUE,1,0,0,0,0,1,0,C_Active,C_Response
06/04/2019,5,6,a2.6,34,TR1.8,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,35,TR1.7,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,36,CR2x.4,C,b,FALSE,FALSE,0,0,0,0,0,0,0,C_Inactive,C_NoResponse
06/04/2019,5,6,a2.6,37,CR1x.18,C,m,TRUE,TRUE,1,0,0,0,0,1,0,C_Active,C_Response
06/04/2019,5,6,a2.6,38,TR2.4,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,39,TR1.3,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,40,CR1.13,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,41,TR2.5,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,42,TR1.2,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,43,TR1.13,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,44,TR1.6,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,45,CR2.3,C,m,TRUE,TRUE,1,0,0,0,0,1,0,C_Active,C_Response
06/04/2019,5,6,a2.6,46,TR2.11,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,47,TR2.8,R,m,TRUE,TRUE,4,0,1,0,0,5,0,R_Active,R_Response
06/04/2019,5,6,a2.6,48,CR1.6,C,m,TRUE,TRUE,2,0,0,0,0,2,0,C_Active,C_Response
06/04/2019,5,6,a2.6,49,CR2.8,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,50,CR2.6,C,m,TRUE,TRUE,3,1,1,0,0,5,0,C_Active,C_Response
06/04/2019,5,6,a2.6,52,CR1.1,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,53,CR1.3,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,55,CR1.19,C,m,TRUE,TRUE,2,0,1,0,0,3,0,C_Active,C_Response
06/04/2019,5,6,a2.6,56,TR1.14,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,57,CR1.14,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,58,CR2.13,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,59,CR1.5,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,60,TR2.1,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,61,TR1.18,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,63,CR2.15,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,64,CR2.10,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
06/04/2019,5,6,a2.6,65,CR1.20,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,66,TR2.3,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,67,TR1.1,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,68,CR2.7,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
06/04/2019,5,6,a2.6,69,TR2.15,R,m,TRUE,TRUE,1,0,0,0,0,1,0,R_Active,R_Response
06/04/2019,5,6,a2.6,70,TR2.10,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,71,TR2.7,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
06/04/2019,5,6,a2.6,72,TR2.6,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,73,TR1.17,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,74,TR1.20,R,b,FALSE,TRUE,2,0,0,0,0,2,0,R_Inactive,R_Response
06/04/2019,5,6,a2.6,75,TR1.12,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,1,E3,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,2,CR1.12,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,3,CR2.1,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
10/04/2019,7,10,a3.10,4,CR1.17,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,5,TR2.14,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,6,CR1.11,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,7,TR2.13,R,m,TRUE,TRUE,2,0,0,0,0,2,0,R_Active,R_Response
10/04/2019,7,10,a3.10,8,TR2.2,R,b,FALSE,FALSE,0,0,0,0,0,0,0,R_Inactive,R_NoResponse
10/04/2019,7,10,a3.10,9,CR1.16,C,b,FALSE,TRUE,0,1,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,10,TR1.5,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,11,TR1.9,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,12,TR2.9,R,o,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,13,CR1.9,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,14,TR1.11,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,15,TR1.10,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,16,CR2.2,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,18,TR1.16,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,19,TR1.15,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,20,CR1.10,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,21,CR1.15,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,22,TR2.12,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,23,CR2.14,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,24,CR2.9,C,m,TRUE,TRUE,2,0,0,0,0,2,0,C_Active,C_Response
10/04/2019,7,10,a3.10,25,CR2.11,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,26,TR1.19,R,m,TRUE,TRUE,1,0,0,0,0,1,0,R_Active,R_Response
10/04/2019,7,10,a3.10,27,CR1.8,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,28,CR1.2,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,29,CR1.7,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,30,CR2.12,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,31,CR2.5,C,b,FALSE,TRUE,2,0,0,0,0,2,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,32,TR1.4,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,33,CR1.4,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,34,TR1.8,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,35,TR1.7,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,36,CR2x.4,C,b,FALSE,TRUE,4,0,0,0,0,4,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,37,CR1x.18,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,38,TR2.4,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,39,TR1.3,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,40,CR1.13,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,41,TR2.5,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,42,TR1.2,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,43,TR1.13,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,44,TR1.6,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,45,CR2.3,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,46,TR2.11,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,47,TR2.8,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,48,CR1.6,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,49,CR2.8,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,50,CR2.6,C,m,TRUE,TRUE,1,0,0,0,0,1,0,C_Active,C_Response
10/04/2019,7,10,a3.10,52,CR1.1,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,53,CR1.3,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,55,CR1.19,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,56,TR1.14,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,57,CR1.14,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
10/04/2019,7,10,a3.10,58,CR2.13,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
